"from","to","time","train"
"BUJ","CTO","240","NCT > MAT"
"BUJ","LOW","240","NOT > NCT"
"BUL","BKT","120","RDC > LTV"
"BUL","FOK","120","LTV > RDC"
"BUO","HME","180","PMH > SOU"
"BUO","SNW","240","SOU > PMS"
"BUT","TAM","660","NOT > BHM"
"BUT","WIL","300","BHM > NOT"
"BUU","ALN","300","SMN > WIC"
"BUU","SMN","360","WIC > SMN"
"BUW","BEY","180","BDQ > ILK"
"BUW","MNN","180","ILK > LDS"
"BUX","CEF","540","BUX > MAN"
"BUY","HDY","180","LDS > YRK"
"BUY","LDS","600","KNA > LDS"
"BVD","ABW","180","GLM > CHX"
"BWB","FEN","120","BDM > BLY"
"BWB","WOB","240","BLY > BDM"
"BWD","IRL","360","LIV > MCO"
"BWD","MCO","1200","LIV > NRW"
"BWD","PDG","180","MCO > LIV"
"BWD","WAC","300","SCA > LIV"
"BWN","BLX","120","RGL > BHM"
"BWN","LAW","240","BHM > RGL"
"BWO","GSN","180","SAA > WFJ"
"BWO","HWW","120","WFJ > SAA"
"BWS","LBO","300","LEI > LCN"
"BWS","SIL","240","LCN > LEI"
"BWT","HIG","420","TAU > BPW"
"BWT","TAU","780","BPW > TAU"
"BXB","CHN","300","BIS > SRA"
"BXB","RYN","240","SRA > BIS"
"BXD","COH","420","UCK > LBG"
"BXD","UCK","360","LBG > UCK"
"BXH","BNH","180","CHX > DFD"
"BXH","WLI","180","DFD > VIC"
"BXY","AYP","180","CRY > CHX"
"BXY","CRY","180","CHX > GRV"
"BYA","GYM","660","NRW > GYM"
"BYB","LGN","360","DBY > CRE"
"BYB","UTT","720","CRE > DBY"
"BYK","AWK","300","LCN > AWK"
"BYK","DON","420","LDS > DON"
"BYM","ACR","480","YRK > PRE"
"BYM","HBD","1260","PRE > YRK"
"BYM","RSG","180","WGW > BBN"
"BYM","TOD","960","BBN > WGW"
"BYN","GSW","240","WGN > LIV"
"BYN","WGN","780","LIV > WGN"
"CAA","BEH","360","COV > NUN"
"CAA","COV","480","NUN > COV"
"CAK","KBK","240","BIF > PRE"
"CAK","ULV","480","MIA > BIF"
"CAM","BAG","300","GLD > ACT"
"CAM","FML","240","ACT > GLD"
"CAO","HNF","240","BHM > RGL"
"CAO","LAW","180","RGL > BHM"
"CAR","AWT","780","CAR > LDS"
"CAR","DLS","480","CAR > WTH"
"CAS","MIH","300","BBN > WGW"
